area_ha,region,dist_perc,year,extent_m2,grid_n,grid_area_m2,cent_lon,cent_lat,min_lon,min_lat,max_lon,max_lat,samples_total_checklists,samples_median_checklists,samples_total_obs,samples_median_obs,samples_date_min,samples_date_max,samples_n_years_min,samples_n_years_max,samples_n_years_median
10000,11 - Prairie Potholes,dist_100,2020,439409186572.57385,68,6862614765.028725,-109.76229445540744,49.1589605542169,-114.18562017352474,42.99865260233881,-98.49131666723656,51.33478989629107,1076,7,137,1,18383,18474,5,13,8
10000,11 - Prairie Potholes,dist_100,2021,281720428184.9656,100,10092080536.806904,-110.44359882190005,49.434330623772716,-114.41424460797738,47.29836849010489,-103.97350337333259,52.05413692484195,3366,10.5,222,1,18748,18839,5,13,8.5
10000,11 - Prairie Potholes,dist_100,2022,276422085903.142,100,10092080536.806923,-110.15829903118619,49.42872102963069,-114.24976307635298,47.47658513466739,-104.14399507899522,52.00555742855118,3653,12,263,1,19113,19204,5,13,8
10000,15 - Sierra Nevada,dist_100,2010,100920805.3680706,1,100920805.3680706,-119.963768173261,38.96197701349579,-120.02469863462265,38.9116615240656,-119.9027493595479,39.0122660929916,9,9,4,4,14755,14821,13,13,13
10000,15 - Sierra Nevada,dist_100,2011,302762416.1042137,2,201841610.7361412,-120.27905717245699,39.776082879060176,-120.4020983668966,39.68356404272226,-120.15566394251293,39.86860245934618,48,24,3,1.5,15105,15172,13,13,13
10000,15 - Sierra Nevada,dist_100,2012,2321178523.465616,4,403683221.4722786,-119.94700001620404,39.12385073398724,-120.2790647375714,38.70998584263333,-119.69827380167338,39.86860245934618,76,15,7,1,15461,15546,12,13,13
10000,15 - Sierra Nevada,dist_100,2013,5651565100.611886,6,605524832.2084198,-120.32477394168389,39.51431355736585,-121.26706328955696,38.80275175820818,-119.68819864382611,40.39217680040992,189,16,12,2,15828,15916,12,13,13
10000,15 - Sierra Nevada,dist_100,2014,7064456375.764896,5,504604026.8403492,-120.3485765251345,39.65868823243498,-121.26706328955696,38.9116615240656,-119.76042448653031,40.39217680040992,141,26,19,3,16192,16282,13,13,13
10000,15 - Sierra Nevada,dist_100,2015,2926703355.6740227,8,807366442.9445553,-120.16162702824835,39.38368190824129,-120.41116041277664,38.9116615240656,-119.9027493595479,39.86860245934618,314,32.5,22,1.5,16556,16647,12,13,13
10000,15 - Sierra Nevada,dist_100,2016,3078084563.72614,6,605524832.2084217,-119.99288772969423,39.22817298658494,-120.4020983668966,38.80275175820818,-119.68819864382611,39.86860245934618,366,54.5,22,3,16922,17013,12,13,13
10000,15 - Sierra Nevada,dist_100,2017,3128544966.4101524,5,504604026.8403511,-120.11154238356342,39.28931405459843,-120.42019322695555,38.9116615240656,-119.76042448653031,39.783466053657605,376,74,7,1,17287,17378,13,13,13
10000,15 - Sierra Nevada,dist_100,2018,4087292617.406823,6,605524832.2084198,-120.08828019812525,39.40573537396213,-120.4020983668966,38.80275175820818,-119.68819864382611,39.8759807862395,510,73,16,2.5,17652,17743,12,13,13
